Id;Name;Nation;Second Nation;International Apps;International Goals;International Assists;Estimated Value;Club Playing;Division Playing;Club Contracted;Division Contracted;Positions Short;Stanley Cups Won;Birth Town;Date Of Birth;Age;Player Roles;Handedness;Junior Preference;Defensive Role;Offensive Role;Morale;Favourite Number;Squad Number;Int. Squad Number;Determination;Aggression;Anticipation;Bravery;Flair;Influence;Teamwork;Creativity;Work Rate;Acceleration;Agility;Balance;Hitting;Speed;Stamina;Strength;Checking;Deflections;Deking;Faceoffs;Off The Puck;Passing;Pokecheck;Positioning;Slapshot;Stickhandling;Wristshot;Blocker;Glove;Rebound Control;Recovery;Reflexes;
1802;Dana Beck;United States;---;0;0;0;1341;Robert Morris Colonials;Atlantic Hockey;Robert Morris Colonials;Atlantic Hockey;RW;0;Fairbanks;7/23/2003;20;(W) Defensive;Right Handed;None;20;2;1;33;33;33;12;10;1;5;11;10;2;1;7;12;3;5;4;14;14;13;9;4;5;1;3;5;6;8;2;3;2;1;1;1;1;1;
1803;Tyler DaSilva;Canada;---;0;0;0;15282;Drummondville Voltigeurs;QMJHL;Drummondville Voltigeurs;QMJHL;C, RW;0;Lantz;4/11/2005;18;(C) Playmaker;Right Handed;None;2;20;20;81;81;81;10;2;10;17;20;10;15;10;12;11;3;4;3;10;13;6;1;7;4;5;5;6;1;1;3;3;5;1;1;1;1;1;
1804;Randy Gazzola;Canada;---;0;0;0;12562;CSG Strasbourg Alsace;Magnus League;CSG Strasbourg Alsace;Magnus League;RD;0;Thorold;9/13/1993;30;(D) Standard;Right Handed;Major Junior;11;13;13;2;2;0;9;12;8;12;6;8;7;8;7;8;7;5;8;9;9;13;10;7;6;3;7;11;10;13;7;5;7;1;1;1;1;1;
1805;Curtis Gedig;Canada;---;0;0;0;15169;Bordeaux GH 2000;Magnus League;Bordeaux GH 2000;Magnus League;LD;0;Penticton;9/14/1991;32;(D) Playmaker (Physical);Left Handed;College;14;10;18;0;2;0;13;7;5;7;7;9;5;6;8;9;10;10;10;10;8;13;9;6;7;1;7;10;10;11;7;6;6;1;1;1;1;1;
1806;Morgan Geekie;Canada;---;0;0;0;14997;Dresdner Eislöwen;DEL2;Dresdner Eislöwen;DEL2;C, RW;0;Strathclair;7/20/1998;25;(C) All around;Right Handed;Major Junior;10;15;20;0;28;0;14;3;10;12;10;10;11;12;14;9;7;7;3;15;10;8;10;11;7;14;15;9;6;12;8;6;13;1;1;1;1;1;
1807;Mason Geertsen;Canada;---;0;0;0;16842;Rouen Hockey Elite 76;Magnus League;Rouen Hockey Elite 76;Magnus League;LD, RD;0;Rocky Rapids;4/19/1995;28;(D) Rugged;Left Handed;Major Junior;16;10;15;24;4;0;11;14;4;10;4;9;10;4;10;6;5;8;12;6;6;12;7;2;4;1;4;5;8;10;6;5;5;1;1;1;1;1;
1808;Erkki Halonen;Finland;---;0;0;0;43158;Helsingin IFK;Liiga;Helsingin IFK;Liiga;LD;0;Hämeenlinna;11/3/2004;19;(D) Pointman;Left Handed;None;12;15;10;4;4;4;10;1;12;10;9;12;14;12;12;12;10;8;7;12;15;6;8;8;7;1;9;14;11;10;12;10;10;1;1;1;1;1;
1811;Kenny Burke;United States;---;0;0;0;1341;Mercyhurst Lakers;Atlantic Hockey;Mercyhurst Lakers;Atlantic Hockey;RW;0;West Chester;6/15/2005;18;(W) Power Forward;Left Handed;None;11;11;1;35;35;35;13;5;8;5;7;3;5;3;7;9;8;10;4;7;12;14;2;6;2;1;3;5;4;4;6;1;5;1;1;1;1;1;
1812;Matteo Gennaro;Canada;---;0;0;0;15169;Bordeaux GH 2000;Magnus League;Bordeaux GH 2000;Magnus League;C;0;St. Albert;3/30/1997;26;(C) All around;Left Handed;Major Junior;14;14;19;0;21;0;17;3;13;19;7;6;16;14;19;12;11;8;7;8;9;12;11;9;8;15;10;11;9;14;8;6;11;1;1;1;1;1;
1814;Mika Petersson;Sweden;---;0;0;0;5912;Frölunda HC J18;J18 Elit;Frölunda HC J18;J18 Elit;LW;0;Göteborg;1/16/2007;17;(W) Finesse;Left Handed;None;7;16;20;59;59;59;11;6;14;9;6;2;11;11;13;12;9;8;5;8;10;3;7;9;8;3;11;8;6;3;7;10;10;1;1;1;1;1;
1815;Misa Laaksonen;Finland;---;0;0;0;43865;Helsingin Jokerit;Kontinental Hockey League;Helsingin Jokerit;Kontinental Hockey League;LD, RD;0;Vantaa;12/8/2003;20;(D) Standard;Left Handed;None;17;8;20;3;3;3;11;2;5;10;8;12;13;5;11;9;8;14;15;10;14;14;17;4;6;2;6;14;15;15;8;9;4;1;1;1;1;1;
1816;Gilles Backes;Luxembourg;---;15;0;5;1187;Luxembourg Huskies U22;Lux U22;Luxembourg Huskies U22;Lux U22;LW;0;Grevenmacher;11/17/2004;19;(W) Finesse;Left Handed;None;12;12;9;66;66;66;13;4;2;1;11;1;4;7;2;6;1;6;1;12;9;3;3;2;6;1;3;5;2;1;3;5;6;1;1;1;1;1;
1817;Bryce Gervais;Canada;---;0;0;0;14997;Dresdner Eislöwen;DEL2;Dresdner Eislöwen;DEL2;C, RW;0;Battleford;2/26/1992;31;(C) Grinder;Right Handed;College;16;9;19;0;0;0;9;12;10;12;9;10;10;8;11;12;12;6;7;12;10;8;9;7;6;12;6;8;6;10;6;6;7;1;1;1;1;1;
1818;Carl Gervais;Canada;---;0;0;0;2848;HC Baník Sokolov;Czech Second League;HC Baník Sokolov;Czech Second League;LW;0;Montreal;4/3/1999;24;(W) Sniper (Finesse;Left Handed;Major Junior;4;20;20;0;29;0;6;1;11;7;10;10;9;13;5;8;3;5;1;7;13;10;1;8;8;1;8;1;3;4;7;5;9;1;1;1;1;1;
1819;Francis Gervais;Canada;---;0;0;0;1906;HC Garges les Gonesses;National League 3;HC Garges les Gonesses;National League 3;LW;0;Amos;7/20/1997;26;(W) Grinder;Left Handed;None;15;10;18;0;0;0;11;4;5;16;10;12;13;5;18;13;8;6;11;8;7;10;12;9;4;4;4;9;7;9;3;5;4;1;1;1;1;1;
1820;Ryan Getzlaf;Canada;---;0;0;0;92104;Anaheim Ducks;NHL;Anaheim Ducks;NHL;LW, C;2;Regina;5/10/1985;38;(C) Playmaker;Right Handed;Major Junior;13;18;8;15;15;15;16;10;15;11;13;16;14;16;11;4;4;5;10;4;7;7;12;14;12;17;14;19;14;13;12;15;11;1;1;1;1;1;
1821;Ramon Donnellan;United States;---;0;0;0;2562;Capital Centre Pride U16;USU16E;Capital Centre Pride U16;USU16E;RW;0;Uniondale;2/4/2008;16;(W) Playmaker (Physical);Right Handed;None;12;14;20;41;41;41;18;7;12;13;11;12;8;11;12;6;4;9;5;7;8;6;1;8;3;2;7;7;1;1;8;5;5;1;1;1;1;1;
1822;Robbie Guay;United States;---;0;0;0;1312;New Jersey Midget Devils;USU16E;New Jersey Midget Devils;USU16E;C;0;East Rutherford;2/2/2007;17;(C) Playmaker (Physical);Right Handed;None;9;14;13;23;23;23;10;3;12;6;14;12;12;8;7;8;4;6;5;7;9;9;1;9;3;8;9;4;1;1;5;3;7;1;1;1;1;1;
1823;Corey Chalifoux;Canada;---;0;0;0;7250;Trail Smoke Eaters;BCHL;Trail Smoke Eaters;BCHL;RW;0;Calgary;2/24/2005;18;(W) Finesse;Right Handed;None;14;7;1;15;15;15;14;2;4;1;11;6;6;4;7;18;6;7;4;15;13;3;5;3;3;1;2;5;5;8;2;6;5;1;1;1;1;1;
1824;Alexander Fineman;United States;---;0;0;0;2562;Team Illinois;USU16E;Team Illinois;USU16E;LW;0;New Haven;3/3/2008;15;(W) Finesse;Left Handed;None;13;10;20;26;26;26;17;4;5;11;10;11;14;5;17;9;8;8;5;7;7;4;6;1;4;1;2;5;7;6;1;5;4;1;1;1;1;1;
1825;Brandon Gignac;Canada;---;0;0;0;12677;Trois-Rivieres Blizzard;LNAH;Trois-Rivieres Blizzard;LNAH;C;0;Repentigny;11/7/1997;26;(C) Playmaker;Left Handed;Major Junior;10;14;16;0;28;0;15;6;13;5;10;11;8;13;6;10;4;5;4;10;7;4;2;10;8;10;9;8;6;4;7;3;8;1;1;1;1;1;
1827;David Gilbert;Canada;---;0;0;0;12300;Rivière-du-Loup 3L;LNAH;Rivière-du-Loup 3L;LNAH;C;0;Châteauguay;2/9/1991;33;(C) Power Forward;Left Handed;Major Junior;8;14;18;0;10;0;7;7;9;6;9;9;9;8;6;8;9;6;5;8;6;10;6;7;7;11;9;8;5;9;6;7;6;1;1;1;1;1;
1828;Kirill Namestnikov;Russia;---;0;0;0;48810;Severstal Cherepovets;Kontinental Hockey League;Severstal Cherepovets;Kontinental Hockey League;LW;0;Schelkovo;5/5/2003;20;(W) Defensive;Right Handed;None;14;10;16;77;77;77;14;11;3;12;8;6;9;3;10;11;6;11;7;15;15;17;9;5;3;2;7;7;8;8;2;3;5;1;1;1;1;1;
1829;Sahir Gill;Canada;---;0;0;0;26925;Wilkes-Barre/Scranton Penguins;AHL;Wilkes-Barre/Scranton Penguins;AHL;LW, C;0;Penticton;4/21/1992;31;(W) Defensive;Left Handed;College;6;16;7;0;21;0;6;5;10;2;6;12;12;10;10;10;7;8;6;11;11;8;9;6;12;9;7;9;8;12;6;9;7;1;1;1;1;1;
1831;Gabriel Jean;United States;---;0;0;0;4695;Grosse Pointe North;HS-MI;Grosse Pointe North;HS-MI;RD;0;Oxford;9/12/2006;17;(D) Defensive (Physical);Right Handed;None;16;8;20;22;22;22;4;16;7;13;9;10;12;7;14;9;6;15;14;9;16;15;12;7;8;2;6;5;11;12;8;7;6;1;1;1;1;1;
1833;Alex Gillies;Canada;---;0;0;0;3416;ASC Corona Brasov;MOL;ASC Corona Brasov;MOL;LW, C;0;Vernon;5/19/1995;28;(W) Power Forward;Left Handed;College;5;16;20;0;0;0;14;8;8;10;10;10;7;6;6;4;4;4;5;7;8;7;5;9;6;1;3;5;5;7;7;4;9;1;1;1;1;1;
1834;Colton Gillies;Canada;---;0;0;0;10875;Kongsvinger Knights;GET Ligaen;Kongsvinger Knights;GET Ligaen;LW, C, RW;0;White Rock;2/12/1989;35;(W) Defensive (Physical);Left Handed;Europe;15;12;20;9;17;0;13;10;5;12;8;11;13;5;13;4;3;8;13;5;3;11;10;9;6;5;5;5;11;13;6;4;5;1;1;1;1;1;
1835;Connor Oliver;United States;---;0;0;0;2176;Michigan State Spartans;Big Ten;Michigan State Spartans;Big Ten;LD;0;Reston;5/28/2003;20;(D) Defensive;Left Handed;None;13;12;20;7;7;7;10;5;5;10;11;8;10;1;15;7;10;16;8;7;14;14;10;1;3;2;2;6;11;11;5;5;1;1;1;1;1;1;
1838;Francois-Xavier Truitt;Canada;---;0;0;0;2742;Waterloo Wolves;Alliance PL;Waterloo Wolves;Alliance PL;G;0;Kingston;4/21/2008;15;(G) Hybrid style;Left Handed;None;20;1;20;37;37;37;12;15;4;4;1;4;5;1;3;6;10;9;1;6;4;4;1;1;1;1;1;2;3;8;1;4;1;6;5;8;1;7;
1839;Brady Gilmour;Canada;---;0;0;0;116330;New York Rangers;NHL;New York Rangers;NHL;C;0;Grafton;4/18/1999;24;(C) Playmaker;Left Handed;Major Junior;7;20;1;0;9;14;11;1;14;8;3;10;14;15;18;11;12;8;5;11;16;8;5;17;12;15;17;14;12;7;13;9;13;1;1;1;1;1;
1841;John Gilmour;Canada;---;0;0;0;3125;Peterborough Phantoms;English Premier League;Peterborough Phantoms;English Premier League;LD;0;Montreal;5/17/1993;30;(D) Defensive (Physical);Left Handed;College;13;13;19;0;0;0;11;8;9;4;8;7;9;9;7;9;6;6;5;9;5;7;5;3;5;1;4;5;5;10;7;4;4;1;1;1;1;1;
1842;Tamás Horváth;Slovakia;---;0;0;0;15875;HC Kosice Jr.;Slovakian Juniors;HC Kosice;Slovakian Liga;LW, C;0;Senec;5/5/2005;18;(C) Defensive (Finesse);Left Handed;None;16;8;19;19;19;19;8;4;3;6;7;1;3;2;1;9;9;8;3;14;7;8;7;1;1;8;2;6;5;8;2;6;2;1;1;1;1;1;
1843;Chris Powers;United States;---;0;0;0;1675;Penn State Nittany Lions;Big Ten;Penn State Nittany Lions;Big Ten;LD;0;Bowling Green;6/16/2003;20;(D) Rugged;Left Handed;None;12;8;12;72;72;72;16;5;3;9;8;9;12;1;11;7;6;12;10;7;14;16;9;1;2;1;4;2;2;6;4;2;2;1;1;1;1;1;
1844;Ron Maier;United States;---;0;0;0;2562;Capital Centre Pride U16;USU16E;Capital Centre Pride U16;USU16E;LW;0;Lansing;5/31/2008;15;(W) Grinder;Left Handed;None;10;15;19;88;88;88;19;11;10;18;5;12;18;12;19;7;11;8;5;8;5;7;7;9;4;1;6;5;5;6;3;6;3;1;1;1;1;1;
1845;Mark Giordano;Canada;---;10;3;3;91261;Carolina Hurricanes;NHL;Carolina Hurricanes;NHL;LD, RD;0;Toronto;10/3/1983;40;(D) Offensive;Left Handed;Major Junior;15;17;12;5;5;5;17;7;15;12;13;15;15;15;13;8;9;6;6;8;11;6;14;8;11;3;15;16;14;16;15;15;14;1;1;1;1;1;
1846;Kevyn Brandon;United States;---;0;0;0;2562;Little Caesars U16;USU16E;Little Caesars U16;USU16E;G;0;Detroit;10/2/2008;15;(G) Hybrid style;Left Handed;None;20;1;19;31;31;31;7;11;4;12;3;11;17;1;15;5;9;6;1;7;6;1;1;1;1;1;1;1;5;6;1;4;1;6;4;4;1;8;
1847;Étienne Catholique-Bruyere;Canada;---;0;0;0;16615;Peterborough Petes;OHL;Peterborough Petes;OHL;C;0;Gloucester;3/15/2005;18;(C) Playmaker (Finesse);Left Handed;None;10;15;19;76;76;76;19;4;10;10;8;13;6;12;9;9;11;4;1;12;9;11;4;5;8;7;9;7;3;5;6;5;10;1;1;1;1;1;
1848;Félix Girard;Canada;---;0;0;0;12562;Esbjerg Energy;Metal Ligaen;Esbjerg Energy;Metal Ligaen;C, RW;0;Lévis;5/9/1994;29;(C) Grinder;Right Handed;Major Junior;12;14;20;16;16;0;10;12;10;10;7;12;10;10;10;9;8;7;15;9;6;7;15;12;9;14;9;11;14;14;11;10;8;1;1;1;1;1;
1849;Gabriel Girard;Canada;France;21;0;0;12687;EK Zell am See;Alps League;EK Zell am See;Alps League;G;0;Varennes;6/13/1991;32;(G) Butterfly style;Left Handed;Major Junior;20;1;20;38;38;38;8;7;6;7;8;7;3;1;5;2;3;5;1;2;4;5;1;1;1;1;1;5;7;11;1;6;1;13;13;8;12;10;
1850;Samuel Girard;Canada;---;0;0;0;94743;Stockton Heat;AHL;Calgary Flames;NHL;LD;0;Roberval;5/12/1998;25;(D) Playmaker (Finesse);Left Handed;Major Junior;10;18;8;0;94;0;6;1;9;7;9;15;12;11;14;14;7;8;8;15;13;6;14;9;11;5;10;16;14;15;11;13;15;1;1;1;1;1;
1851;Garrett Gernander;United States;---;0;0;0;2180;Wisconsin Badgers;Big Ten;Wisconsin Badgers;Big Ten;G;0;Lincolnville;11/2/2005;18;(G) Butterfly style;Left Handed;None;20;1;20;34;34;34;15;1;6;15;9;11;15;1;19;6;16;10;1;5;15;1;1;1;1;1;1;6;7;9;1;3;1;8;7;3;7;7;
1852;Jordan Klecha;United States;---;0;0;0;7250;Aurora Tigers;OJHL;Aurora Tigers;OJHL;C, RW;0;Plymouth;10/11/2004;19;(C) Sniper (Finesse);Right Handed;None;2;20;14;34;34;34;12;3;11;5;11;11;6;6;9;10;1;3;1;13;10;3;1;8;6;6;4;2;3;4;6;6;5;1;1;1;1;1;
1853;Stephen Miller;United States;---;0;0;0;1312;Chicago Mission U16;USU16E;Chicago Mission U16;USU16E;G;0;Addison;8/21/2008;15;(G) Hybrid style;Left Handed;None;20;1;15;1;1;1;18;7;5;10;9;10;15;1;16;2;10;8;1;3;5;1;1;1;1;1;1;1;4;7;1;2;1;6;3;6;1;7;
1854;Claude Giroux;Canada;---;5;1;1;181707;New York Islanders;NHL;New York Islanders;NHL;C, RW;2;Hearst;1/12/1988;36;(C) Playmaker (Finesse);Right Handed;Major Junior;14;19;12;28;28;28;18;7;19;10;19;18;15;20;14;15;15;13;9;15;18;12;13;12;18;19;16;18;15;18;11;17;15;1;1;1;1;1;
1855;Janez Avgustincic;Slovenia;---;14;0;4;4494;HK Bled;Elite League;HK Bled;Elite League;LW, RW;0;Ljubljana;5/30/2001;22;(W) Finesse;Right Handed;None;9;15;20;16;16;9;14;3;8;1;8;7;10;13;8;14;3;6;1;14;10;4;2;7;9;1;10;6;1;2;6;5;9;1;1;1;1;1;
1857;Cody Glass;Canada;---;0;0;0;16965;Grenoble Les Brûleurs de loups;Magnus League;Grenoble Les Brûleurs de loups;Magnus League;C;0;Winnipeg;4/1/1999;24;(C) Finesse;Right Handed;Major Junior;13;16;19;0;8;0;14;1;12;5;7;11;14;13;10;16;7;5;3;11;13;4;5;7;16;11;11;6;5;6;8;9;12;1;1;1;1;1;
1858;Mustafà Campa;Slovenia;---;7;1;1;4791;HK Olimpija Ljubljana U20;EBEL Juniors;HK Olimpija Ljubljana U20;EBEL Juniors;LD;0;Brezje;11/28/2004;19;(D) Defensive (Physical);Left Handed;None;16;7;10;77;77;77;11;11;3;1;9;2;3;3;6;7;5;10;9;9;11;16;8;1;4;1;1;4;10;8;4;5;1;1;1;1;1;1;
1860;Igor Skokan;Slovakia;---;0;0;0;6041;HC 46 Bardejov;Second Division;HC 46 Bardejov;Second Division;RD;0;Zvolen;9/23/2001;22;(D) Offensive (Physical);Left Handed;None;16;11;20;5;5;4;11;10;4;1;3;8;8;5;2;7;7;12;8;7;8;15;8;2;3;1;4;7;1;6;5;4;3;1;1;1;1;1;
1861;Tanner Moulakelis;United States;---;0;0;0;408;Finlandia Lions;MCHA;Finlandia Lions;MCHA;G;0;Roseville;1/31/2006;18;(G) Stand-up style;Left Handed;None;13;7;20;34;34;34;15;12;1;15;10;9;15;1;9;1;2;4;1;1;5;4;1;1;1;1;1;1;3;5;1;5;1;2;5;2;1;2;
1862;Andrej Klinga;Slovakia;---;0;0;0;15875;HC Kosice;Slovakian Liga;HC Kosice;Slovakian Liga;LW, C, RW;0;Zilina;6/7/2001;22;(W) Sniper (Finesse;Left Handed;None;10;17;20;11;11;11;9;1;12;7;11;13;9;12;12;14;7;8;7;11;11;5;6;12;11;3;14;6;4;7;12;12;12;1;1;1;1;1;
1863;Scott Glennie;Canada;---;0;0;0;12562;Herlev Eagles;Metal Ligaen;Herlev Eagles;Metal Ligaen;C, RW;0;Winnipeg;2/22/1991;33;(W) Power Forward;Right Handed;Major Junior;8;14;20;15;15;0;10;13;11;6;10;11;10;9;12;4;6;4;7;7;7;9;6;8;7;5;7;9;6;10;8;7;9;1;1;1;1;1;
1865;Ilya Kashtanov;Russia;---;0;0;0;15808;Avangard Omsk U17;Russia U17;Avangard Omsk U17;Russia U17;C;0;Omsk;3/6/2007;16;(C) Enforcer;Left Handed;None;14;9;20;26;26;26;12;13;1;10;9;6;7;1;7;7;10;9;8;11;9;2;9;6;4;7;5;5;6;10;5;7;5;1;1;1;1;1;
1866;Sam Fletcher;United States;---;0;0;0;1675;Minnesota State Mavericks;WCHA;Minnesota State Mavericks;WCHA;LD, RD;0;White Bear Lake;2/5/2003;21;(D) Defensive (Physical);Left Handed;None;17;6;19;7;7;7;9;2;1;6;7;6;5;2;8;7;7;12;9;6;10;15;11;4;1;1;3;3;8;10;4;2;2;1;1;1;1;1;
1867;Jacob Golden;Canada;---;0;0;0;9340;Huntsville Havoc;SPHL;Huntsville Havoc;SPHL;LD;0;Toronto;3/20/1999;24;(D) Playmaker (Finesse);Left Handed;Major Junior;9;14;20;0;0;0;6;1;7;9;9;12;13;10;9;13;8;7;6;12;13;4;8;5;7;2;8;10;7;11;7;9;11;1;1;1;1;1;
1868;Cody Goloubef;Canada;---;0;0;0;26766;Krefeld Pinguine;DEL;Krefeld Pinguine;DEL;RD;0;Mississauga;11/30/1989;34;(D) Standard;Right Handed;College;14;12;20;19;29;0;13;9;9;3;12;9;9;7;8;11;9;7;12;9;9;8;14;6;9;1;7;13;12;15;10;12;5;1;1;1;1;1;
1869;Barclay Goodrow;Canada;---;0;0;0;53240;IF Malmö Redhawks;SHL;IF Malmö Redhawks;SHL;LW, RW;0;Brampton;2/26/1993;30;(W) All around;Left Handed;Major Junior;13;13;11;23;89;0;14;9;11;8;11;13;11;11;11;11;11;10;9;11;10;13;14;6;10;5;11;13;11;15;11;9;12;1;1;1;1;1;
1870;Michael Gios;Italy;---;32;4;14;9095;SV Caldaro Kaltern;Serie B;SV Caldaro Kaltern;Serie B;LW;0;Padova;3/11/2001;22;(W) Playmaker (Physical);Left Handed;None;9;16;20;44;44;12;6;11;7;5;19;1;7;12;6;8;4;9;6;6;11;11;4;12;6;3;7;10;2;4;8;4;9;1;1;1;1;1;
1871;Brayden Gorda;Canada;---;0;0;0;6041;HC 46 Bardejov;Second Division;HC 46 Bardejov;Second Division;LD;0;Edmonton;4/15/1999;24;(D) Playmaker (Physical);Left Handed;Major Junior;15;7;20;0;3;0;14;13;5;6;8;6;12;6;8;12;9;17;11;8;15;20;10;3;4;3;4;8;11;11;1;3;3;1;1;1;1;1;
1872;Rolf Slavin;United States;---;0;0;0;16795;Powassan Voodoos;NOJHL;North Bay Battalion;OHL;G;0;Sault Ste. Marie;1/13/2006;18;(G) Butterfly style;Left Handed;None;20;1;15;39;39;39;13;12;1;5;2;12;10;1;12;6;14;9;1;2;6;3;1;1;1;1;1;3;5;9;1;4;1;6;6;5;7;5;
1873;Michael Frischmon;United States;---;0;0;0;5312;St. Bernard's/St. Agnes;HS-MN;St. Bernard's/St. Agnes;HS-MN;C;0;St. Paul;7/26/2007;16;(C) Playmaker;Left Handed;None;6;15;13;77;77;77;15;4;10;7;16;8;10;7;4;8;2;7;1;10;12;10;1;8;5;6;6;9;2;1;3;7;5;1;1;1;1;1;
1874;Keegan Robert;United States;---;0;0;0;11345;Waterloo Black Hawks;USHL;Waterloo Black Hawks;USHL;LW, RW;0;Columbus;9/7/2007;16;(W) Sniper (Finesse;Left Handed;None;4;20;20;33;33;33;11;3;7;8;9;2;3;10;7;9;7;7;1;7;7;2;2;8;6;3;9;7;3;1;7;9;10;1;1;1;1;1;
1875;Coda Gordon;Canada;---;0;0;0;20410;Alaska Aces;ECHL;Alaska Aces;ECHL;LW;0;Cochrane;8/4/1994;29;(W) Sniper (Physical);Left Handed;Major Junior;10;15;20;28;28;0;13;9;12;8;8;10;11;8;12;7;6;5;8;7;9;11;4;7;7;3;13;5;4;8;8;4;11;1;1;1;1;1;
1877;Andreas Crawford;United States;---;0;0;0;1312;Plymouth Midgets;USU16E;Plymouth Midgets;USU16E;RD, RW;0;Plymouth;6/5/2008;15;(D) Defensive (Physical);Right Handed;None;13;13;19;7;7;7;13;20;8;10;7;12;13;8;8;7;8;7;5;8;10;12;8;5;6;3;5;3;6;7;4;3;6;1;1;1;1;1;
1878;Jalen Carney;United States;---;0;0;0;0;---;---;---;---;G;0;Providence;11/11/2002;21;(G) Butterfly style;Left Handed;None;20;1;8;1;1;1;16;11;2;12;4;4;1;1;6;3;15;5;1;2;13;1;1;1;1;1;1;1;5;4;1;1;1;7;6;1;6;5;
1879;Brandon Gormley;Canada;---;6;0;1;36063;Dinamo Minsk;Kontinental Hockey League;Dinamo Minsk;Kontinental Hockey League;LD, RD;0;Murray River;2/18/1992;32;(D) Standard;Left Handed;Major Junior;14;12;10;3;46;3;11;10;7;9;13;12;11;7;9;11;12;9;9;12;8;10;14;7;7;1;10;13;12;15;9;12;9;1;1;1;1;1;
1880;Mike Ruff;Canada;---;0;0;0;7250;Mississauga Chargers;OJHL;Mississauga Chargers;OJHL;RW;0;Hornepayne;2/4/2006;18;(W) Playmaker (Physical);Right Handed;None;12;15;20;78;78;78;19;9;12;10;1;1;7;10;6;8;6;11;5;7;12;15;2;8;4;3;7;4;4;3;5;4;6;1;1;1;1;1;
1882;Spiro Goulakos;Canada;---;0;0;0;9662;Hvidovre Fighters;Danish First Division;Hvidovre Fighters;Danish First Division;LD;0;Montreal;2/16/1990;34;(D) Offensive;Left Handed;College;14;11;20;0;27;0;14;1;9;12;7;10;10;5;12;5;5;7;12;5;3;6;12;6;4;6;5;7;11;11;6;8;6;1;1;1;1;1;
1883;Tyrell Goulbourne;Canada;---;0;0;0;15000;Cardiff Devils;Elite League;Cardiff Devils;Elite League;LW, C;0;Edmonton;1/26/1994;30;(W) Enforcer;Left Handed;Major Junior;14;14;19;12;12;0;7;14;10;14;5;11;10;10;9;9;8;9;16;8;8;11;13;10;9;12;7;9;9;12;8;9;9;1;1;1;1;1;
1884;Malcolm Gould;Canada;---;0;0;0;10500;Columbus Cottonmouths;SPHL;Columbus Cottonmouths;SPHL;RW;0;North Vancouver;10/27/1992;31;(W) Finesse;Right Handed;College;10;15;20;0;0;0;18;3;9;4;10;8;3;11;3;8;7;3;2;8;9;6;3;6;13;1;12;9;4;8;2;12;6;1;1;1;1;1;
1885;Alain Goulet;Canada;---;0;0;0;10250;Edinburgh Capitals;Elite League;Edinburgh Capitals;Elite League;RD;0;Kapuskasing;9/22/1988;35;(D) Defensive (Physical);Right Handed;None;14;13;20;9;21;0;11;7;10;9;8;10;11;12;10;3;5;5;8;4;9;11;9;5;5;2;5;8;9;10;8;8;8;1;1;1;1;1;
1886;Alexandre Goulet;Canada;---;0;0;0;12687;EC Die Adler Kitzbühel;Alps League;EC Die Adler Kitzbühel;Alps League;LW, C;0;Disraeli;4/5/1996;27;(W) Finesse;Left Handed;Major Junior;9;14;9;0;19;11;10;4;15;7;6;13;9;16;9;7;9;11;7;13;11;9;7;14;20;13;15;13;8;10;13;14;13;1;1;1;1;1;
1887;Anthony Goulet;Canada;Czech Republic;0;0;0;10734;SK Horácká Slavia Trebíc;WSM Liga;SK Horácká Slavia Trebíc;WSM Liga;LD;0;---;2/11/1992;32;(D) Standard;Left Handed;None;17;5;19;0;24;0;15;10;7;8;7;10;12;7;9;10;11;8;12;11;12;11;14;7;8;3;7;11;11;16;7;7;7;1;1;1;1;1;
1889;Yanni Gourde;Canada;---;0;0;0;12562;Odense Bulldogs;Metal Ligaen;Odense Bulldogs;Metal Ligaen;LW, C;0;---;12/15/1991;32;(W) All around;Left Handed;Major Junior;14;13;15;23;37;0;14;8;6;7;12;8;8;8;8;11;9;8;6;11;8;6;8;6;8;4;11;11;7;11;9;9;11;1;1;1;1;1;
1890;Mario Sibley;United States;---;0;0;0;4697;Cranbrook-Kingswood;HS-MI;Cranbrook-Kingswood;HS-MI;LW, C;0;Bloomfield Hills;12/7/2007;16;(W) Power Forward;Left Handed;None;11;12;20;30;30;30;13;7;11;15;10;13;13;9;13;7;9;10;4;8;8;5;4;9;3;1;5;4;3;5;5;1;8;1;1;1;1;1;
1891;Matija Kucera;Croatia;---;0;0;0;875;KHL Zagreb Jrs;Junior League;KHL Zagreb Jrs;Junior League;LW, RW;0;Belisce;12/26/2003;20;(W) Power Forward;Left Handed;None;8;14;20;39;39;39;14;14;4;3;2;2;1;2;4;7;2;7;5;7;12;7;4;10;4;1;4;4;2;3;7;5;5;1;1;1;1;1;
1892;Justin Sator;United States;---;0;0;0;5312;Duluth East;HS-MN;Duluth East;HS-MN;RD;0;Chanhassen;5/11/2009;14;(D) Offensive;Left Handed;None;8;11;14;8;8;8;9;1;3;1;16;4;4;8;8;7;4;4;1;9;5;6;3;5;6;1;7;6;2;1;6;3;7;1;1;1;1;1;
1893;Jesse Graham;Canada;---;0;0;0;12687;EK Zell am See;Alps League;EK Zell am See;Alps League;RD;0;Mississauga;5/13/1994;29;(D) Offensive (Finesse);Right Handed;Major Junior;13;14;19;2;2;0;9;9;8;2;13;8;4;10;5;8;9;2;4;8;4;5;7;2;9;1;7;10;8;9;8;11;7;1;1;1;1;1;
