Id;Name;Club Playing;Club Contracted;Positions Short;Age;Handedness;Squad Number;Determination;Aggression;Anticipation;Bravery;Flair;Influence;Teamwork;Creativity;Work Rate;Acceleration;Agility;Balance;Hitting;Speed;Stamina;Strength;Checking;Deflections;Deking;Faceoffs;Off The Puck;Passing;Pokecheck;Positioning;Slapshot;Stickhandling;Wristshot;Blocker;Glove;Rebound Control;Recovery;Reflexes;
3636;Ty Rattie;St. Louis Blues;St. Louis Blues;RW;27;Right Handed;8;14;10;15;11;15;13;13;14;14;13;13;13;9;14;12;8;10;7;15;7;12;13;12;12;8;13;12;1;1;1;1;1;
3637;Chris Rawlings;Grand Rapids Griffins;Grand Rapids Griffins;G;31;Left Handed;35;12;6;5;6;6;8;5;1;6;6;9;7;1;5;14;15;1;1;1;1;1;2;8;11;1;4;1;8;9;6;4;5;
3639;Jérôme Raymond;Sorel-Tracy Éperviers;Sorel-Tracy Éperviers;C;28;Left Handed;89;19;16;11;11;11;13;9;9;12;8;9;7;9;12;10;13;9;12;8;11;7;8;8;10;11;7;9;1;1;1;1;1;
3642;Mason Raymond;EV Vienna Capitals;EV Vienna Capitals;LW, RW;34;Left Handed;21;13;6;14;6;13;12;11;13;14;13;9;4;3;12;6;4;12;10;11;8;9;13;11;13;11;11;13;1;1;1;1;1;
3643;Matt Read;Helsingin IFK;Helsingin IFK;LW, RW;34;Right Handed;24;11;6;13;11;12;14;14;12;15;13;11;11;10;14;9;6;14;8;11;8;10;12;14;15;13;11;11;1;1;1;1;1;
3644;Ryan Reaves;---;---;RW;33;Right Handed;75;13;17;10;18;8;10;16;9;16;8;8;15;19;8;9;19;15;11;7;9;8;10;12;13;10;10;8;1;1;1;1;1;
3646;Mike Rebry;Anglet Hormadi;Anglet Hormadi;LW, C;26;Left Handed;0;19;1;8;9;8;7;7;8;10;12;11;5;3;12;11;8;5;5;5;11;8;6;5;9;5;4;7;1;1;1;1;1;
3648;Chaz Reddekopp;Gornyak Rudny;Gornyak Rudny;LD;23;Left Handed;29;9;9;2;9;7;5;6;5;3;5;5;12;11;4;7;16;10;4;4;1;3;7;8;9;1;6;1;1;1;1;1;1;
3649;Liam Reddox;Fischtown Pinguins Bremerhaven;Fischtown Pinguins Bremerhaven;LW;34;Left Handed;85;10;10;10;13;13;11;13;9;15;14;12;10;10;12;12;8;11;5;9;8;11;8;11;14;6;9;10;1;1;1;1;1;
3651;Harrison Reed;---;---;C, RW;32;Right Handed;18;12;8;9;7;12;7;6;7;6;6;5;5;2;7;6;7;3;9;7;7;10;5;3;7;8;5;11;1;1;1;1;1;
3652;Jonathan-Liam Henry;Northeast Panthers;Northeast Panthers;C;15;Left Handed;63;9;13;7;8;9;6;2;3;2;5;9;2;4;8;4;8;4;8;2;5;4;3;1;2;4;1;4;1;1;1;1;1;
3656;Matthew Register;Aalborg Pirates;Aalborg Pirates;LD;31;Left Handed;0;18;7;9;12;9;11;12;9;12;9;10;12;11;10;11;14;12;9;9;1;8;10;10;13;8;6;9;1;1;1;1;1;
3657;Brent Regner;EC Villacher SV;EC Villacher SV;RD;31;Right Handed;8;12;9;11;10;6;11;12;12;10;9;7;7;8;8;8;10;10;5;9;2;10;12;11;12;9;10;6;1;1;1;1;1;
3658;Ryan Rehill;Wilkes-Barre/Scranton Penguins;Wilkes-Barre/Scranton Penguins;RD;24;Right Handed;24;14;16;3;12;4;10;12;4;10;5;6;12;12;6;9;15;8;2;2;1;3;4;8;10;7;3;5;1;1;1;1;1;
3659;Vadims Grundmanis;SK Riga U18;SK Riga U18;LD, RD;16;Left Handed;33;12;5;6;8;10;12;9;2;10;8;6;11;11;8;11;8;10;5;6;3;6;7;7;10;5;2;5;1;1;1;1;1;
3661;Cam Reid;---;---;C;29;Left Handed;28;7;5;15;4;10;8;8;14;14;3;3;3;4;4;5;13;6;4;8;9;7;6;3;6;3;5;4;1;1;1;1;1;
3663;Mikey Strand;Notre Dame Fighting Irish;Notre Dame Fighting Irish;LD;18;Left Handed;26;13;13;1;1;10;5;1;1;3;6;5;7;4;7;8;5;8;1;4;1;4;3;6;7;1;2;1;1;1;1;1;1;
3664;Nolan Reid;Texas Stars;Texas Stars;RD;22;Right Handed;47;8;4;5;3;13;9;9;6;11;11;6;14;7;11;11;4;8;5;4;1;6;7;11;13;7;7;7;1;1;1;1;1;
3665;William Reilly;Philadelphia Flyers;Philadelphia Flyers;RD;23;Right Handed;0;18;6;8;13;15;4;14;11;14;13;15;11;9;13;16;14;10;8;10;1;13;14;6;8;13;8;10;1;1;1;1;1;
3666;James Reimer;Toronto Maple Leafs;Toronto Maple Leafs;G;32;Left Handed;34;13;5;13;12;12;11;14;1;16;13;15;11;1;12;14;14;1;1;1;1;1;10;11;17;1;12;1;16;18;14;14;14;
3667;Ben Reinhardt;Kalamazoo Wings;Kalamazoo Wings;LD, RD;30;Left Handed;0;7;13;6;11;7;12;11;5;12;6;6;10;10;7;11;6;12;5;8;4;8;7;9;12;6;4;5;1;1;1;1;1;
3668;Griffin Reinhart;New York Rangers;New York Rangers;LD;26;Left Handed;8;15;11;9;10;7;14;11;9;10;11;10;11;15;12;14;13;15;8;10;3;9;14;16;17;11;13;12;1;1;1;1;1;
3669;Max Reinhart;Kölner Haie;Kölner Haie;LW, C;28;Left Handed;25;14;7;12;9;12;12;13;16;12;15;15;9;10;14;10;12;11;11;14;16;12;16;5;12;9;15;13;1;1;1;1;1;
3670;Sam Reinhart;Buffalo Sabres;Buffalo Sabres;C, RW;24;Right Handed;23;19;10;13;10;18;16;16;17;15;15;17;14;9;15;14;11;12;12;18;13;17;18;15;13;14;18;17;1;1;1;1;1;
3671;Hideaki Shinohara;TPH Thunder U18;TPH Thunder U18;LD, RD;18;Left Handed;28;11;14;4;7;9;9;5;1;3;6;8;9;4;7;7;10;8;1;3;1;1;3;6;6;2;3;1;1;1;1;1;1;
3672;Alan Dunn;Victoria Royals;Victoria Royals;LD;16;Left Handed;11;14;7;2;2;6;8;7;2;12;8;6;14;8;10;10;5;8;1;2;1;3;5;8;9;2;3;2;1;1;1;1;1;
3673;Daniel Renouf;HC 46 Bardejov;HC 46 Bardejov;LD;26;Left Handed;11;19;8;5;12;6;11;12;6;14;9;11;13;9;11;14;11;8;6;8;4;8;4;12;15;8;4;7;1;1;1;1;1;
3674;Murray Moore;Vernon Elks;Vernon Elks;LW, C;13;Left Handed;43;8;6;12;9;7;6;12;11;11;9;9;2;4;9;8;2;4;4;10;10;6;6;3;5;5;10;8;1;1;1;1;1;
3675;Will Brown;Gilmour Academy;Gilmour Academy;LW, RW;16;Left Handed;60;20;2;13;15;9;11;16;12;17;8;8;6;3;13;13;9;7;5;10;2;10;10;5;6;5;7;7;1;1;1;1;1;
3676;Dalton Reum;Braehead Clan;Braehead Clan;RD;28;Right Handed;8;10;10;5;4;7;6;4;7;5;4;4;7;8;5;9;12;10;4;6;1;5;7;9;12;5;2;4;1;1;1;1;1;
3678;Keenan Reynolds;Ertis Pavlodar;Ertis Pavlodar;C;22;Right Handed;29;4;7;13;6;5;8;10;9;17;13;8;7;4;12;15;13;6;6;6;8;7;6;5;5;5;2;8;1;1;1;1;1;
3681;Fabrizio Ricci;Grenoble Les Brûleurs de loups;Grenoble Les Brûleurs de loups;LW;25;Left Handed;25;5;14;11;13;7;12;13;9;13;6;6;9;12;7;11;13;9;15;7;8;7;9;7;11;10;9;10;1;1;1;1;1;
3685;Anthony Richard;Nashville Predators;Nashville Predators;C;23;Left Handed;9;14;2;16;11;3;14;13;15;13;8;13;5;8;13;10;10;8;18;18;14;17;9;8;9;17;11;16;1;1;1;1;1;
3686;Dylan Richard;Ontario Reign;Ontario Reign;LW, C;27;Left Handed;0;11;8;8;6;15;8;9;10;7;7;8;5;2;7;8;9;3;3;4;10;7;8;5;5;4;5;7;1;1;1;1;1;
3688;Samuel Richard;Pittsburgh Penguins;Pittsburgh Penguins;LD;21;Left Handed;0;18;14;1;8;10;5;2;1;6;8;11;15;8;10;12;15;11;1;4;1;2;3;7;11;2;2;2;1;1;1;1;1;
3689;Tanner Richard;HC Genève-Servette;HC Genève-Servette;LW, C;27;Left Handed;71;14;10;11;11;7;10;14;11;13;11;12;11;18;11;9;13;13;11;11;17;12;13;8;11;14;13;14;1;1;1;1;1;
3690;Dryden Motzko;St. Louis Amateur Blues U16;St. Louis Amateur Blues U16;C;15;Left Handed;37;7;8;12;7;7;4;7;9;6;8;6;6;6;8;7;3;5;9;2;9;2;2;1;2;7;2;9;1;1;1;1;1;
3691;Leo Pereira;Toronto Young Nationals;Toronto Young Nationals;G;14;Left Handed;35;13;10;6;13;5;13;16;1;18;4;8;6;1;9;6;3;1;1;1;1;1;5;8;10;1;5;1;9;6;6;3;11;
3693;Garry Lukeniuk;Rayside Balfour Canadians;Rayside Balfour Canadians;C;16;Right Handed;10;16;3;10;16;8;10;7;12;5;10;4;7;1;7;8;4;1;5;5;9;8;7;3;3;3;4;3;1;1;1;1;1;
3695;Bill Beattie;St. Cloud State Huskies;St. Cloud State Huskies;C, RW;18;Right Handed;76;11;2;2;11;7;8;10;2;12;10;7;8;5;9;14;6;8;6;3;3;9;6;8;6;5;5;8;1;1;1;1;1;
3697;Brennan Riddle;HC GKS Katowice;HC GKS Katowice;LD;23;Left Handed;3;6;16;5;8;6;5;5;3;10;10;5;16;12;8;8;10;11;4;4;2;4;2;11;11;3;4;2;1;1;1;1;1;
3698;Mattia Macario;HC Merano 2000 Jrs;HC Merano 2000 Jrs;LW, C;17;Right Handed;14;20;3;14;16;18;11;13;12;9;12;3;5;3;8;5;6;1;7;6;6;5;7;2;4;3;4;3;1;1;1;1;1;
3699;Morgan Rielly;Toronto Maple Leafs;Toronto Maple Leafs;LD, RD;26;Left Handed;44;18;7;16;10;16;14;16;14;15;17;17;14;9;17;16;14;18;13;15;4;15;16;17;18;16;16;13;1;1;1;1;1;
3701;Zac Rinaldo;Augsburger Panther;Augsburger Panther;LW, C, RW;30;Left Handed;36;12;16;9;15;8;10;15;9;16;11;10;8;19;10;11;11;16;12;9;9;10;12;14;13;9;10;10;1;1;1;1;1;
3702;Nicola Riopel;Cardiff Devils;Cardiff Devils;G;31;Left Handed;92;12;7;4;4;8;9;8;1;5;6;8;9;1;3;7;6;1;1;1;1;1;5;6;10;1;3;1;10;9;6;12;8;
3703;Luke Ripley;Lehigh Valley Phantoms;Lehigh Valley Phantoms;LD, RD;26;Left Handed;0;16;14;6;6;6;8;7;5;6;8;6;9;11;13;6;13;11;6;8;4;7;8;14;11;5;8;5;1;1;1;1;1;
3706;Ryley Risling;Lyon HC;Lyon HC;LW;24;Left Handed;0;19;14;14;6;11;5;3;9;9;3;4;7;11;4;9;10;1;9;10;3;11;5;3;5;8;5;9;1;1;1;1;1;
3707;Jaynen Rissling;Traktor Chelyabinsk;Traktor Chelyabinsk;LD;26;Left Handed;81;10;14;8;13;7;13;11;8;10;8;7;9;17;9;8;14;12;8;8;6;9;11;12;14;10;9;8;1;1;1;1;1;
3708;Brett Ritchie;---;---;RW;27;Right Handed;25;11;14;8;12;12;10;10;11;10;10;11;12;18;10;8;13;9;16;10;7;11;11;10;9;13;12;13;1;1;1;1;1;
3709;Dmitri Labzin;HK Tornaado Tallinn U18;HK Tornaado Tallinn U18;LW, C;17;Left Handed;73;14;2;2;1;4;4;3;1;2;8;5;4;1;8;10;4;4;6;4;6;7;7;2;4;6;4;7;1;1;1;1;1;
3710;Nick Ritchie;Anaheim Ducks;Anaheim Ducks;LW;24;Left Handed;20;16;15;12;16;14;9;14;14;14;14;14;14;20;15;14;20;12;17;14;9;15;15;13;13;16;15;15;1;1;1;1;1;
3712;Hans Pietila;Mississauga Chargers;Mississauga Chargers;RD;18;Right Handed;4;11;15;1;1;5;10;5;2;5;7;6;10;5;10;13;8;7;1;3;1;2;3;6;7;1;6;1;1;1;1;1;1;
3713;Alex Roach;Nashville Predators;Nashville Predators;LD;27;Left Handed;41;8;8;4;4;11;9;6;4;6;4;3;7;10;6;6;11;8;5;5;4;7;8;6;9;7;6;5;1;1;1;1;1;
3714;Colby Robak;Dinamo Minsk;Dinamo Minsk;RD;30;Right Handed;47;14;1;10;13;11;14;12;12;15;11;9;13;12;11;9;14;12;6;10;5;13;13;12;16;14;12;10;1;1;1;1;1;
3717;Elijah Roberts;St. John's IceCaps;Montreal Canadiens;LD;21;Left Handed;98;5;4;8;9;13;11;7;11;11;12;8;8;6;16;13;14;7;7;9;6;12;13;9;8;12;9;12;1;1;1;1;1;
3718;Dennis Robertson;HC Benátky nad Jizerou;HC Benátky nad Jizerou;LD;29;Left Handed;20;13;13;6;9;4;11;10;6;10;7;7;8;11;5;9;12;13;4;6;3;9;9;14;15;13;8;7;1;1;1;1;1;
3719;Dylan Robertson;---;---;C, RW;25;Right Handed;0;11;4;4;2;9;5;8;6;6;10;9;5;3;9;9;6;8;7;7;2;5;9;6;10;4;8;7;1;1;1;1;1;
3720;Matt Robertson;Port Huron Prowlers;Port Huron Prowlers;C;32;Left Handed;12;15;9;9;8;7;6;5;7;4;10;9;6;3;9;10;3;3;7;6;10;6;4;3;6;7;4;9;1;1;1;1;1;
3721;Matthew  Robertson;Edmonton Oil Kings;Edmonton Oil Kings;LD;19;Left Handed;0;14;3;1;13;7;8;10;1;9;9;3;14;3;13;15;4;9;1;2;1;2;4;6;8;2;4;2;1;1;1;1;1;
3722;Niklas Mattsson;Djurgårdens IF J20;Djurgårdens IF;LD, RD;19;Left Handed;7;11;12;5;17;1;11;15;3;17;6;7;13;8;7;13;17;7;2;5;2;3;2;5;9;2;4;3;1;1;1;1;1;
3724;Tyler Robertson;Calgary Flames;Calgary Flames;LW;23;Left Handed;21;12;7;6;8;11;7;2;8;6;7;8;4;3;3;6;7;6;9;10;3;7;6;5;6;7;5;6;1;1;1;1;1;
3725;Robert Tomko;MHK Bemaco Humenné;MHK Bemaco Humenné;LW, RW;18;Left Handed;41;11;3;13;8;13;10;9;11;14;9;8;9;4;9;7;12;2;8;9;2;6;5;2;2;9;9;10;1;1;1;1;1;
3726;Mikael Robidoux;CO Courbevoie;CO Courbevoie;RW;21;Right Handed;29;12;10;7;12;11;12;7;9;12;8;13;7;9;8;12;14;8;8;2;4;2;5;6;5;4;4;3;1;1;1;1;1;
3728;Brandon Robinson;Stavanger Oilers;Stavanger Oilers;LW;24;Left Handed;19;7;13;15;15;9;15;15;14;18;10;12;5;13;9;11;17;7;20;11;8;12;9;7;10;13;6;13;1;1;1;1;1;
3730;Felix Carnevale;UFA Bisons;UFA Bisons;LD;15;Left Handed;8;16;4;3;3;4;2;10;3;8;6;3;9;8;4;6;11;6;1;1;1;1;1;3;7;1;3;1;1;1;1;1;1;
3731;Austyn Andrews;Superior Eagles;Superior Eagles;RW;15;Right Handed;48;13;2;11;3;3;4;6;4;4;4;10;2;4;8;9;3;3;8;8;1;8;4;2;5;8;4;9;1;1;1;1;1;
3732;Josh Robinson;VSK Technika Brno;VSK Technika Brno;G;30;Left Handed;30;12;7;5;7;8;8;4;1;7;4;7;6;1;6;11;10;1;1;1;1;1;6;7;11;1;5;1;7;7;7;7;6;
3734;Mat Robinson;Dynamo Moscow;Dynamo Moscow;RD;34;Right Handed;33;11;8;13;9;10;9;12;14;12;11;11;11;10;12;14;8;9;8;10;4;11;15;11;13;15;13;11;1;1;1;1;1;
3740;Gray Aiken;St. Bernard's/St. Agnes;St. Bernard's/St. Agnes;LD, RD;15;Right Handed;2;5;13;10;15;1;12;14;10;8;6;6;6;5;5;12;9;4;2;3;2;5;1;2;7;4;4;2;1;1;1;1;1;
3741;Jack Rodewald;Ritten Sport Hockey AS;Ritten Sport Hockey AS;RW;26;Right Handed;24;18;8;11;11;7;8;12;10;10;9;8;6;11;9;8;11;7;9;8;5;8;5;5;7;9;5;8;1;1;1;1;1;
3742;Dwayne Rodrigue;Rivière-du-Loup 3L;Rivière-du-Loup 3L;G;29;Left Handed;0;13;7;5;7;8;8;5;1;7;5;8;8;1;7;11;6;1;1;1;1;1;6;8;12;1;5;1;8;8;7;7;7;
3743;Olivier Rodrigue;---;---;G;20;Left Handed;33;13;16;5;8;3;6;9;1;6;9;17;10;1;3;15;1;1;1;1;1;1;4;8;11;1;5;1;6;8;5;7;6;
3745;Evan Rodrigues;Grenoble Les Brûleurs de loups;Grenoble Les Brûleurs de loups;C, RW;27;Left Handed;15;10;9;11;6;12;10;11;12;10;13;15;11;9;14;10;8;13;8;12;13;15;14;8;11;8;12;12;1;1;1;1;1;
3746;Paul Rodrigues;Stockton Heat;Stockton Heat;RW;31;Right Handed;15;11;10;11;6;9;9;9;13;12;10;6;5;4;10;10;5;6;6;10;6;8;8;5;8;10;9;9;1;1;1;1;1;
3747;Derek Rodwell;---;---;LW;30;Left Handed;11;12;10;8;11;7;10;8;11;10;8;8;8;9;13;8;14;8;10;4;5;8;5;5;10;7;4;8;1;1;1;1;1;
3749;Jaxon Moran;Breck;Breck;C;17;Right Handed;51;13;2;6;14;10;4;4;10;10;12;8;4;1;11;12;3;3;2;8;10;9;6;4;4;5;9;7;1;1;1;1;1;
3751;Ashton Rome;Columbus Cottonmouths;Columbus Cottonmouths;RW;34;Right Handed;44;13;14;9;9;12;12;13;8;11;7;4;8;11;6;7;9;10;8;4;6;4;6;6;10;7;4;9;1;1;1;1;1;
3752;Ty Ronning;ASG Angers;ASG Angers;RW;22;Right Handed;7;17;4;14;8;6;6;9;15;9;11;13;7;5;14;13;5;7;10;14;5;11;9;6;6;10;9;11;1;1;1;1;1;
3754;Pete Cooper;Muskegon Lumberjacks;Muskegon Lumberjacks;RW;16;Right Handed;79;8;1;12;15;4;11;11;11;12;8;7;8;5;13;14;7;6;9;7;2;10;7;5;7;9;8;8;1;1;1;1;1;
3757;Rudy Gagnon;Sudbury Wolves;Sudbury Wolves;LW, RW;17;Right Handed;63;13;6;4;14;3;4;11;9;9;11;8;5;8;10;11;11;3;10;3;2;5;3;2;4;7;3;7;1;1;1;1;1;
3758;David Rose;Odense Bulldogs;Odense Bulldogs;RW;29;Left Handed;7;19;7;10;13;6;12;13;10;14;7;9;6;7;8;13;9;12;12;11;9;13;12;10;13;11;9;9;1;1;1;1;1;
3759;Andreas Scherer;EK Zell am See Jrs;EK Zell am See Jrs;RD;17;Right Handed;7;12;7;1;3;5;3;1;1;1;6;4;9;6;6;4;6;8;1;1;1;1;3;3;6;2;1;1;1;1;1;1;1;
3760;Viktor Sýkora;HK Mountfield Hradec Králové;HK Mountfield Hradec Králové;LD, RD;19;Left Handed;22;10;17;4;9;8;4;9;5;11;7;6;11;7;8;14;13;10;1;5;1;4;4;8;9;5;5;2;1;1;1;1;1;
3761;Jay Rosehill;Straubing Tigers;Straubing Tigers;LD, LW;35;Left Handed;37;12;15;9;7;6;11;14;7;11;4;4;8;14;4;4;10;13;13;8;7;8;8;13;12;10;11;9;1;1;1;1;1;
3762;Brad Ross;Iserlohn Roosters;Iserlohn Roosters;LW;28;Left Handed;11;11;16;10;15;10;9;13;11;16;9;9;8;20;9;8;13;11;12;10;8;11;10;8;12;15;10;15;1;1;1;1;1;
3763;Nick Ross;HC Kosice;HC Kosice;LD, RD;31;Left Handed;81;7;12;11;6;9;9;8;9;9;10;9;7;11;11;10;11;11;3;7;1;10;11;8;11;11;6;7;1;1;1;1;1;
3764;Adam Rossignol;---;---;C;26;Left Handed;17;7;8;12;4;7;5;9;8;4;9;11;5;6;9;7;11;4;8;6;9;8;5;4;9;8;4;9;1;1;1;1;1;
3766;Blake Roubos;Villard-de-Lans;Villard-de-Lans;C;27;Left Handed;28;18;5;10;6;7;7;13;12;11;11;11;3;4;12;8;5;4;7;6;12;9;11;5;7;2;5;6;1;1;1;1;1;
3768;Charles-Olivier Roussel;ASG Angers;ASG Angers;LD, RD;28;Right Handed;5;12;11;12;9;8;11;13;9;10;7;8;8;9;8;9;12;11;6;7;1;8;11;10;12;9;9;7;1;1;1;1;1;
3769;Dany Roussin;Thetford Assurancia;Thetford Assurancia;LW;35;Left Handed;0;10;10;9;7;11;8;9;7;6;6;5;3;5;6;10;6;4;4;6;8;6;5;3;7;8;5;11;1;1;1;1;1;
3770;Chad Williams;New Jersey Midget Devils;New Jersey Midget Devils;RW;14;Right Handed;66;13;4;12;6;3;8;6;11;6;8;4;5;3;11;6;6;5;4;3;3;6;5;4;5;7;4;7;1;1;1;1;1;
3772;Carter Rowney;Dresdner Eislöwen;Dresdner Eislöwen;C, RW;31;Right Handed;17;6;8;12;14;9;8;9;11;11;11;11;7;11;5;8;12;9;10;9;3;10;9;7;10;10;7;10;1;1;1;1;1;
3773;Cal Yates;Salisbury School;Salisbury School;C, RW;17;Right Handed;25;13;5;10;12;6;7;11;13;6;9;8;8;3;7;6;5;3;6;6;7;7;4;2;1;7;3;7;1;1;1;1;1;
3774;Jaye Benning;Superior Eagles;Superior Eagles;RW;15;Right Handed;39;11;11;3;17;6;4;12;3;8;6;7;8;9;8;5;8;9;6;1;2;4;3;9;7;3;4;5;1;1;1;1;1;
3775;Martin Slivnik;HDK Maribor U18;HDK Maribor U18;G;17;Left Handed;35;10;11;6;7;10;10;12;1;9;6;13;9;1;5;12;2;1;1;1;1;1;4;7;11;1;6;1;9;8;9;2;9;
3776;Eric Roy;EC Die Adler Kitzbühel;EC Die Adler Kitzbühel;LD, RD;25;Left Handed;7;9;12;9;10;10;8;10;9;9;8;6;7;8;7;9;12;8;3;4;1;4;8;9;11;8;4;4;1;1;1;1;1;
3777;Frédérick Roy;Esbjerg Energy;Esbjerg Energy;LW, C;29;Left Handed;88;7;12;16;9;7;12;14;15;15;12;10;9;11;13;10;8;10;10;10;7;13;8;8;10;9;11;5;1;1;1;1;1;
3779;Jérémy Roy;Bridgeport Sound Tigers;New York Islanders;LD, RD;23;Right Handed;97;11;9;10;8;14;11;11;14;10;11;12;10;12;11;13;12;11;5;9;3;11;15;9;11;10;12;8;1;1;1;1;1;
3780;Kevin Roy;St. John's IceCaps;St. John's IceCaps;LW, C;27;Left Handed;15;4;9;8;7;12;9;8;8;5;9;8;8;3;8;6;5;4;6;6;1;7;6;4;5;5;8;8;1;1;1;1;1;
3781;Mikhail Peretyagin;Mamonty Yugry;Yugra Khanty-Mansiysk;LW, C;17;Left Handed;34;19;8;10;6;11;11;15;7;9;10;8;7;6;8;8;13;4;10;5;2;8;9;2;7;9;6;9;1;1;1;1;1;
3782;Marco Roy;Detroit Red Wings;Detroit Red Wings;LW, C, RW;25;Left Handed;25;14;9;12;15;9;8;14;10;16;16;14;11;8;16;11;13;9;9;8;3;9;10;8;8;11;9;9;1;1;1;1;1;
3783;Brycen Dodero;Warroad;Warroad;C, RW;14;Right Handed;49;11;10;1;2;9;1;2;11;4;6;4;7;8;8;6;3;7;7;3;1;6;4;3;5;6;5;8;1;1;1;1;1;
3784;Nicolas Roy;Carolina Hurricanes;Carolina Hurricanes;C;23;Right Handed;55;12;11;13;14;12;13;15;11;16;12;11;13;15;11;12;17;10;12;8;14;8;9;11;10;9;7;8;1;1;1;1;1;
3785;Olivier Roy;EC Villacher SV;EC Villacher SV;G;29;Left Handed;0;14;6;10;11;11;9;8;1;11;6;10;12;1;6;8;9;1;1;1;1;1;8;7;12;1;9;1;11;10;10;10;9;
3787;Sacha Roy;Anglet Hormadi;Anglet Hormadi;LD;21;Left Handed;0;18;10;4;7;9;10;11;4;12;13;9;10;9;8;11;12;9;2;3;2;2;2;10;9;3;2;2;1;1;1;1;1;
3788;Chad Boka;Woodstock Slammers;Woodstock Slammers;RD;18;Right Handed;2;6;4;1;1;7;5;1;1;4;7;6;11;7;5;9;6;6;1;3;1;2;1;7;4;1;2;1;1;1;1;1;1;
3790;Konstantin Cherepanov;Omskie Yastreby;Avangard Omsk Oblast;RD;17;Left Handed;33;8;16;5;9;10;12;10;5;6;6;4;12;10;8;8;11;8;1;1;2;1;1;9;9;2;4;2;1;1;1;1;1;
3791;Jordan Ruby;---;---;G;29;Left Handed;0;12;6;4;5;7;7;3;1;3;5;6;5;1;3;4;10;1;1;1;1;1;2;4;10;1;3;1;10;8;7;9;4;
3794;Alexei Bezugly;Donbass Donetsk Jrs;Donbass Donetsk Jrs;LD, RD;18;Right Handed;11;11;5;4;15;1;6;7;2;11;7;5;6;8;8;8;6;8;3;3;1;1;2;5;8;1;4;2;1;1;1;1;1;
3796;Joel Rumpel;THK Tver;THK Tver;G;29;Left Handed;35;11;6;5;5;10;6;5;1;4;4;9;6;1;5;6;8;1;1;1;1;1;5;6;10;1;7;1;10;9;10;9;8;
3797;Myles Rumsey;Bakersfield Condors;Bakersfield Condors;RD;33;Right Handed;5;12;13;4;11;6;13;13;4;8;8;7;9;7;8;11;13;8;3;4;3;4;2;7;8;6;3;4;1;1;1;1;1;
3798;Harrison Ruopp;Hvidovre Fighters;Hvidovre Fighters;LD, RD;27;Right Handed;2;8;14;7;14;3;10;9;6;10;7;6;8;16;8;7;13;13;6;4;4;8;7;11;12;6;5;6;1;1;1;1;1;
3799;Sam Ruopp;Les Rapaces de Gap;Les Rapaces de Gap;LD;24;Left Handed;2;14;12;14;10;6;10;12;9;9;7;8;16;13;8;9;14;7;3;7;2;5;8;12;8;8;4;5;1;1;1;1;1;
3800;Matt Rupert;New Jersey Devils;New Jersey Devils;LW;26;Left Handed;20;15;13;8;14;7;12;11;6;12;7;5;4;11;8;9;8;10;9;11;6;11;6;8;10;10;8;6;1;1;1;1;1;
3801;Ryan Rupert;HC Vita Hästen;HC Vita Hästen;LW, C;26;Left Handed;20;9;13;10;11;5;10;9;7;11;9;10;11;14;10;7;9;7;8;8;9;9;10;9;8;11;7;10;1;1;1;1;1;
3803;Rail Kozlov;Salavat Yulaev Ufa U17;Salavat Yulaev Ufa;LD, RD;16;Left Handed;11;17;10;7;13;8;10;15;7;14;10;8;10;13;9;13;14;10;7;4;1;3;3;10;8;5;5;7;1;1;1;1;1;
3805;Kris Russell;New York Rangers;New York Rangers;LD, RD;33;Left Handed;4;16;5;10;19;13;15;16;10;15;15;17;10;7;15;11;6;12;8;12;4;13;16;15;16;13;16;13;1;1;1;1;1;
3807;Wyatt Turner;Minnesota-Duluth Bulldogs;Minnesota-Duluth Bulldogs;G;17;Right Handed;35;18;15;2;10;2;1;3;1;4;2;14;12;1;4;11;4;1;1;1;1;1;4;7;8;1;5;1;6;6;6;5;6;
3808;Troy Rutkowski;Lausitzer Füchse;Lausitzer Füchse;RD;28;Right Handed;2;12;10;7;8;7;9;10;6;7;6;5;6;10;4;6;9;8;2;5;1;9;10;7;10;8;7;4;1;1;1;1;1;
3810;Kerby Rychel;---;---;LW;25;Left Handed;16;13;12;12;13;8;12;14;12;13;12;12;14;16;9;10;12;12;13;10;8;11;13;11;11;13;11;12;1;1;1;1;1;
3811;Maddux Rychel;Ottawa Senators;Ottawa Senators;LW;21;Left Handed;0;10;16;5;12;8;10;19;5;15;12;3;6;5;8;13;15;8;2;4;3;4;5;8;7;2;3;3;1;1;1;1;1;
3813;Derek Ryckman;---;---;LD;28;Left Handed;5;6;16;5;11;10;8;11;7;11;3;4;11;12;4;3;14;10;4;3;1;2;1;11;10;6;1;4;1;1;1;1;1;
3814;Dusan Rogon;HC Slovan Bratislava;HC Slovan Bratislava;LW, C;18;Left Handed;70;13;5;6;10;6;5;9;13;7;7;6;6;7;7;14;12;5;9;5;3;8;7;3;3;7;5;9;1;1;1;1;1;
3816;Rock Régimbald;HK Dukla Michalovce;HK Dukla Michalovce;LW, C;28;Left Handed;17;9;5;8;9;8;10;5;8;6;7;8;7;7;7;9;12;7;10;9;6;9;7;5;10;8;8;10;1;1;1;1;1;
3817;Jesse Saban;Syracuse Crunch;Syracuse Crunch;LD;23;Left Handed;8;17;9;6;10;7;14;12;4;18;9;14;15;13;10;10;16;17;6;5;2;8;6;16;16;6;6;6;1;1;1;1;1;
