Id;Name;Nation;Estimated Value;Club Playing;Division Playing;Club Contracted;Division Contracted;Positions Short;Birth Town;Date Of Birth;Age;Handedness;Junior Preference;Morale;Squad Number;Determination;Goaltender;Left Defense;Right Defense;Left Wing;Center;Right Wing;Aggression;Anticipation;Bravery;Flair;Influence;Teamwork;Creativity;Work Rate;Acceleration;Agility;Balance;Fighting;Hitting;Speed;Stamina;Strength;Checking;Deflections;Deking;Faceoffs;Off The Puck;Passing;Pokecheck;Positioning;Slapshot;Stickhandling;Wristshot;Blocker;Glove;Rebound Control;Recovery;Reflexes;
833;Cullen Bradshaw;Canada;18250;Fort Wayne Komets;ECHL;Fort Wayne Komets;ECHL;LW;Medicine Hat;2/11/1990;30;Left Handed;College;20;29;13;1;1;1;20;14;12;1;8;4;9;7;7;9;4;9;9;6;5;4;10;11;5;5;6;7;3;8;6;6;8;7;7;12;1;1;1;1;1;
834;Adam Brady;Canada;2925;Bemidji State Beavers;WCHA;Bemidji State Beavers;WCHA;C;Delhi;8/6/1995;24;Left Handed;College;20;0;12;1;1;1;12;20;9;3;5;12;8;15;12;7;10;13;9;8;3;6;11;9;9;10;7;6;11;7;8;7;11;6;6;8;1;1;1;1;1;
836;Jakob Brahaney;Canada;15082;Kingston Frontenacs;OHL;Kingston Frontenacs;OHL;LD;Hastings;3/26/1999;20;Left Handed;None;18;22;15;1;20;12;1;1;1;13;4;7;3;12;7;4;10;8;8;13;1;10;8;12;13;13;3;5;1;5;6;10;12;4;5;2;1;1;1;1;1;
838;Austen Brassard;Canada;12562;Frederikshavn White Hawks;Metal Ligaen;Frederikshavn White Hawks;Metal Ligaen;RW;Windsor;3/14/1993;27;Right Handed;Major Junior;20;0;9;1;1;1;12;9;20;11;7;8;7;8;8;7;7;6;8;8;5;6;6;6;11;9;8;6;7;5;7;7;9;8;7;8;1;1;1;1;1;
839;Daniel Brassard;Canada;16407;Rimouski Oceanic;QMJHL;Rimouski Oceanic;QMJHL;LD;La Sarre;3/11/1999;21;Left Handed;Major Junior;4;0;11;1;20;1;1;1;1;2;4;8;7;10;7;2;13;11;5;11;1;3;11;11;3;10;1;2;2;1;5;8;10;2;5;1;1;1;1;1;1;
840;Derick Brassard;Canada;145250;Washington Capitals;NHL;Washington Capitals;NHL;C;Hull;9/22/1987;32;Left Handed;Major Junior;10;16;14;1;1;1;14;20;13;10;17;10;11;15;15;16;16;15;15;11;8;12;16;16;13;12;12;13;16;14;15;13;14;12;15;15;1;1;1;1;1;
841;François Brassard;Canada;29867;South Carolina Stingrays;ECHL;Hershey Bears;AHL;G;Gatineau;1/31/1994;26;Left Handed;Major Junior;10;0;18;20;1;1;1;1;1;8;5;4;7;7;5;1;4;5;5;7;5;1;4;5;6;1;1;1;1;1;5;7;8;1;4;1;6;5;7;6;6;
842;Ronald Mjelleli;United States;2562;Capital Centre Pride U16;USU16E;Capital Centre Pride U16;USU16E;RD;Sault Ste. Marie;9/12/2004;15;Left Handed;None;20;77;5;1;1;20;1;1;1;15;4;6;4;10;6;4;9;6;4;8;1;8;7;7;8;4;1;2;1;1;1;6;7;1;1;1;1;1;1;1;1;
843;Brady Brassart;Canada;11903;Fehérvár AV19;Erste Bank Eishockey Liga;Fehérvár AV19;Erste Bank Eishockey Liga;C, RW;Vernon;6/15/1993;26;Right Handed;Major Junior;20;14;10;1;1;1;12;18;20;7;8;7;11;7;6;7;7;9;6;5;5;8;11;5;9;3;5;8;6;5;9;4;6;6;7;8;1;1;1;1;1;
844;Matviy Lyulchuk;Ukraine;2041;Sokol Kiev Juniors;---;Sokol Kiev Juniors;---;G;Kiev;2/14/2003;17;Left Handed;None;18;37;14;20;1;1;1;1;1;9;5;6;10;7;1;1;3;4;6;9;1;1;4;6;3;1;1;1;1;1;6;3;7;1;3;1;5;5;6;3;5;
845;Chad Brears;Canada;3250;Villard-de-Lans;National League 2;Villard-de-Lans;National League 2;RW;Cold Lake;5/8/1991;28;Right Handed;College;18;0;6;1;1;1;15;15;20;1;10;9;6;10;11;14;12;11;12;8;7;6;11;12;9;8;7;12;6;8;11;8;9;7;11;8;1;1;1;1;1;
846;Benjamin Breault;Canada;14972;ASG Angers;Magnus League;ASG Angers;Magnus League;C;Pembroke;2/21/1988;32;Left Handed;Major Junior;19;0;9;1;1;1;12;20;9;7;12;6;9;10;5;10;8;6;8;3;6;7;8;10;7;7;6;9;7;9;6;7;8;8;8;8;1;1;1;1;1;
847;Christopher Breen;Canada;33681;Augsburger Panther;DEL;Augsburger Panther;DEL;LD;Uxbridge;6/29/1989;30;Left Handed;None;9;0;10;1;20;12;1;1;1;10;7;12;5;9;9;5;9;5;3;12;5;15;5;11;16;11;9;6;2;7;9;13;12;8;6;6;1;1;1;1;1;
848;Andrei Artemenko;Ukraine;2041;Sokol Kiev Juniors;---;Sokol Kiev Juniors;---;LW;Kiev;1/16/2003;17;Left Handed;None;18;22;13;1;1;1;20;14;12;1;5;10;8;9;17;5;10;7;4;10;1;5;6;7;1;5;3;6;1;3;7;6;5;1;7;5;1;1;1;1;1;
849;Eli Messier;Canada;2712;Oakville Rangers;SCTA;Oakville Rangers;SCTA;C;Oakville;7/24/2004;15;Left Handed;None;20;26;15;1;1;1;12;20;9;10;10;15;7;6;10;10;15;8;5;9;7;5;6;6;7;4;5;5;6;4;3;5;6;4;5;1;1;1;1;1;1;
853;Phil Brewer;Canada;10041;MHK 32 Liptovský Mikulás;Slovakian Liga;MHK 32 Liptovský Mikulás;Slovakian Liga;C, RW;Cambridge;4/11/1990;29;Right Handed;College;20;73;10;1;1;1;15;16;20;11;9;10;10;8;10;11;10;8;8;5;6;9;9;10;10;7;8;8;2;9;8;6;8;9;6;8;1;1;1;1;1;
857;Guillaume Brisebois;Canada;83377;San Jose Sharks;NHL;San Jose Sharks;NHL;LD;Mont-Saint-Hilaire;7/21/1997;22;Left Handed;Major Junior;10;55;18;1;20;12;1;1;1;1;7;12;14;9;16;8;12;15;10;16;8;13;16;13;11;12;8;7;1;8;16;17;19;16;13;13;1;1;1;1;1;
858;Josh Brittain;Canada;10250;Edinburgh Capitals;Elite League;Edinburgh Capitals;Elite League;LW;Milton;1/3/1990;30;Left Handed;None;20;13;12;1;1;1;20;9;12;16;7;14;6;9;9;8;13;7;6;10;12;14;7;6;18;7;13;3;6;5;4;6;10;11;4;9;1;1;1;1;1;
859;Sam Brittain;Canada;14675;HK Nitra;Slovakian Liga;HK Nitra;Slovakian Liga;G;Calgary;5/10/1992;27;Left Handed;College;19;1;12;20;1;1;1;1;1;7;11;7;10;7;7;1;10;6;8;13;6;1;6;9;12;1;1;1;1;1;9;7;12;1;9;1;12;11;12;9;12;
860;Joel Broda;Canada;16312;Rapid City Rush;ECHL;Rapid City Rush;ECHL;LW, C;Prince Albert;11/24/1989;30;Left Handed;Major Junior;17;0;11;1;1;1;19;20;12;9;7;6;9;6;5;7;5;8;8;6;5;5;10;9;11;7;5;5;10;5;5;6;8;7;7;7;1;1;1;1;1;
863;Mathieu Brodeur;Canada;11375;Thetford Assurancia;LNAH;Thetford Assurancia;LNAH;LD;Laval;6/21/1990;29;Left Handed;Major Junior;20;6;12;1;20;12;1;1;1;10;5;14;3;11;12;6;14;7;6;14;6;15;7;12;16;9;5;6;1;7;3;9;11;6;3;6;1;1;1;1;1;
864;Étienne Brodeur;Canada;35310;Mikkelin Jukurit;Liiga;Mikkelin Jukurit;Liiga;LW, RW;Varennes;3/10/1991;29;Left Handed;Major Junior;18;23;15;1;1;1;20;9;16;16;15;11;10;12;12;14;11;11;11;10;2;10;12;13;9;10;13;13;8;12;8;11;11;11;11;6;1;1;1;1;1;
865;T.J. Brodie;Canada;165027;Washington Capitals;NHL;Washington Capitals;NHL;LD, RD;Chatham;6/7/1990;29;Left Handed;Major Junior;12;7;16;1;20;19;1;1;1;7;11;16;14;12;14;16;15;17;18;14;6;5;16;17;10;15;10;15;7;17;16;19;17;16;17;14;1;1;1;1;1;
866;Carson Battaglia;United States;5312;Breck;HS-MN;Breck;HS-MN;RW;Minneapolis;8/27/2005;14;Right Handed;None;20;53;13;1;1;1;12;9;20;10;12;9;20;8;12;7;8;6;6;4;1;2;7;10;6;4;9;5;2;7;5;1;1;8;4;4;1;1;1;1;1;
867;David Broll;Canada;16312;Cincinnati Cyclones;ECHL;Cincinnati Cyclones;ECHL;LW, RW;Mississauga;6/12/1993;26;Left Handed;Major Junior;18;15;10;1;1;1;20;11;16;14;8;9;4;9;9;7;10;8;7;9;10;13;6;6;16;8;8;8;6;7;8;6;8;8;6;8;1;1;1;1;1;
868;Josh Brook;Canada;15087;Moose Jaw Warriors;WHL;Moose Jaw Warriors;WHL;RD;Roblin;6/15/1999;20;Right Handed;Major Junior;8;2;11;1;14;20;1;1;1;16;9;8;8;8;9;9;12;11;11;12;2;6;14;16;16;10;5;8;4;7;10;10;9;3;5;5;1;1;1;1;1;
869;Dave Carey;United States;1312;California Wave;CAHA;California Wave;CAHA;LW;Los Angeles;1/30/2003;17;Left Handed;None;16;14;12;1;1;1;20;9;12;6;9;4;9;4;2;7;2;5;2;6;1;1;6;7;5;1;5;4;1;6;1;1;2;6;5;8;1;1;1;1;1;
871;Adam Brooks;Canada;88258;Toronto Marlies;AHL;Toronto Maple Leafs;NHL;C;Winnipeg;5/6/1996;23;Left Handed;Major Junior;10;26;12;1;1;1;12;20;9;10;13;14;6;13;14;14;8;8;12;9;4;12;12;15;9;10;12;9;13;14;10;10;10;8;11;10;1;1;1;1;1;
872;Calder Brooks;Canada;11220;HC Asiago Hockey 1935;Alps League;HC Asiago Hockey 1935;Alps League;LW, C;Emerald Park;8/26/1994;25;Left Handed;Major Junior;20;20;7;1;1;1;16;20;13;7;9;11;6;11;10;10;11;7;7;5;1;3;9;11;9;7;7;6;12;11;9;4;9;6;8;9;1;1;1;1;1;
873;Evan Brophey;Canada;18215;Bars Kazan;Vysshaya Liga;Bars Kazan;Vysshaya Liga;LW, C;Toronto;12/3/1986;33;Left Handed;Europe;20;47;12;1;1;1;16;20;12;9;10;9;16;7;15;7;13;6;11;10;2;7;6;10;11;10;12;5;11;4;6;8;11;10;4;8;1;1;1;1;1;
874;Ruben de Roover;Belgium;5312;Bulldogs Liege;BeNeLiga;Bulldogs Liege;BeNeLiga;RW;Brussels;1/2/2001;19;Right Handed;None;16;67;6;1;1;1;10;10;20;7;1;10;9;10;14;2;14;11;7;7;1;3;13;13;6;5;2;3;1;4;6;8;8;4;4;6;1;1;1;1;1;
875;Laurent Brossoit;Canada;76741;Bakersfield Condors;AHL;Edmonton Oilers;NHL;G;Surrey;3/23/1993;26;Left Handed;Major Junior;15;31;13;20;1;1;1;1;1;7;9;9;13;9;10;1;12;10;14;14;4;1;10;12;14;1;1;1;1;1;10;9;14;1;10;1;12;12;15;14;13;
876;Nikolas Brouillard;Canada;10200;EHC Freiburg;DEL2;EHC Freiburg;DEL2;LD;Montreal;2/7/1995;25;Left Handed;None;17;15;9;1;20;12;1;1;1;1;7;10;10;10;11;10;11;10;10;7;3;3;10;12;1;8;5;7;1;7;12;10;9;6;8;10;1;1;1;1;1;
878;Connor Brown;Canada;144586;Los Angeles Kings;NHL;Los Angeles Kings;NHL;RW;Etobicoke;1/14/1994;26;Right Handed;Major Junior;12;29;15;1;1;1;14;11;20;11;14;8;14;13;13;13;12;12;12;10;4;8;12;11;7;11;9;13;6;13;14;13;12;14;12;13;1;1;1;1;1;
881;Josh Brown;Canada;63271;Tucson Roadrunners;AHL;Arizona Coyotes;NHL;RD;London;1/21/1994;26;Right Handed;Major Junior;8;3;12;1;15;20;1;1;1;12;6;10;5;12;14;6;12;8;7;9;4;15;8;9;14;13;8;6;1;9;9;13;14;10;9;7;1;1;1;1;1;
883;Travis Brown;Canada;8375;HC AZ Havírov 2010;WSM Liga;HC AZ Havírov 2010;WSM Liga;LD;Winnipeg;3/15/1994;26;Left Handed;Major Junior;20;36;14;1;20;12;1;1;1;11;8;13;9;11;12;12;13;10;9;9;6;11;10;10;13;8;6;6;1;8;6;7;8;6;7;6;1;1;1;1;1;
884;Tyler Brown;Canada;12812;EHC Olten;National League B;EHC Olten;National League B;LW, C;Wasaga Beach;2/7/1990;30;Left Handed;Major Junior;20;18;17;1;1;1;20;18;12;6;8;12;6;13;12;8;13;9;5;8;9;8;5;4;9;9;10;12;5;10;5;8;10;9;7;4;1;1;1;1;1;
885;William Brown;Canada;45060;Utica Comets;AHL;Vancouver Canucks;NHL;RD;Nepean;5/3/1998;21;Right Handed;Major Junior;9;3;11;1;1;20;1;1;1;9;5;12;8;9;11;3;13;10;10;13;8;15;13;13;16;18;8;10;2;8;15;11;18;14;8;7;1;1;1;1;1;
887;Jarno Blomqvist;Finland;1640;Espoon Blues Blue B2-Jrs;Fin B2-Jr First;Espoon Blues Blue B2-Jrs;Fin B2-Jr First;RD;Espoo;9/15/2002;17;Left Handed;None;20;22;15;1;12;20;1;1;1;11;5;15;9;5;12;5;7;9;7;10;1;10;8;9;5;8;4;5;1;2;3;6;9;4;2;1;1;1;1;1;1;
888;Connor Brown;Canada;90378;Providence Bruins;AHL;Boston Bruins;NHL;LW;Georgetown;7/22/1995;24;Left Handed;None;10;19;5;1;1;1;20;9;12;14;13;9;14;7;6;11;7;11;8;7;2;8;13;8;11;4;12;9;6;12;5;5;4;12;5;12;1;1;1;1;1;
890;Elijah Brown;Canada;15065;Seattle Thunderbirds;WHL;Seattle Thunderbirds;WHL;C;Edmonton;1/5/2000;20;Left Handed;Major Junior;1;11;13;1;1;1;12;20;9;18;9;6;8;3;3;11;1;11;8;7;1;1;11;12;6;3;8;8;4;8;3;3;2;6;3;7;1;1;1;1;1;
891;Evan Brown;Canada;1322;Epinal Espoirs;French Espoirs;Epinal Espoirs;French Espoirs;RW;Oakville;4/2/1998;21;Right Handed;Major Junior;20;0;19;1;1;1;12;9;20;4;14;4;8;5;7;12;3;15;8;7;1;1;10;14;9;3;4;11;2;10;5;5;3;5;8;8;1;1;1;1;1;
892;Patrick Robinson;United States;1312;Reston Raiders;USU16E;Reston Raiders;USU16E;LD;Reston;6/28/2004;15;Left Handed;None;20;2;10;1;20;14;1;1;1;20;3;20;6;12;19;12;18;8;4;2;1;3;7;10;6;5;4;8;1;6;2;3;6;3;1;3;1;1;1;1;1;
893;Mattias Vaagensø;Denmark;12562;AaB Ishockey U20;Danish Junior;Aalborg Pirates;Metal Ligaen;RD;Kastrup;10/14/2001;18;Right Handed;None;17;7;14;1;15;20;1;1;1;8;3;1;8;3;10;7;5;11;3;8;1;1;11;8;11;8;1;4;1;4;7;4;4;2;5;3;1;1;1;1;1;
894;Ethan Browne;Canada;15097;Everett Silvertips;WHL;Everett Silvertips;WHL;LW;Sherwood Park;5/4/2001;18;Left Handed;Major Junior;7;0;7;1;1;1;20;1;1;1;11;10;6;9;9;12;10;13;6;2;4;2;9;10;8;2;7;7;2;6;4;2;2;10;4;8;1;1;1;1;1;
895;Riley Bruce;Canada;6000;HK Kremenchuk;Ukr;HK Kremenchuk;Ukr;RD;Carp;7/16/1997;22;Right Handed;Major Junior;20;8;20;1;12;20;1;1;1;8;4;7;9;4;4;2;10;6;9;12;1;9;10;11;15;13;4;6;2;4;1;8;11;2;1;1;1;1;1;1;1;
896;Gilbert Brulé;Canada;14317;Cardiff Devils;Elite League;Cardiff Devils;Elite League;C, RW;Edmonton;1/1/1987;33;Right Handed;Major Junior;20;0;15;1;1;1;12;20;18;12;12;12;14;12;11;12;12;13;13;7;11;14;11;11;7;9;8;12;14;11;10;7;9;11;10;11;1;1;1;1;1;
897;Blake Van Lare;United States;1312;Atlanta Fire U16;USU16E;Atlanta Fire U16;USU16E;LD;Biloxi;4/16/2003;16;Left Handed;None;17;21;15;1;20;12;1;1;1;4;2;14;6;10;10;1;16;8;4;10;1;3;5;6;11;5;1;3;1;1;1;5;6;1;1;1;1;1;1;1;1;
899;Drake Ventura;Canada;15042;Niagara IceDogs;OHL;Niagara IceDogs;OHL;RW;Toronto;3/31/2002;17;Right Handed;None;1;56;7;1;1;1;15;15;20;7;13;10;11;9;8;10;6;11;6;8;2;3;11;8;8;4;5;5;2;10;7;4;4;5;8;7;1;1;1;1;1;
900;Ryan Brushett;Canada;110746;San Antonio Rampage;AHL;Colorado Avalanche;NHL;C;Verdun;6/14/1998;21;Right Handed;None;1;25;6;1;1;1;9;20;12;3;16;10;10;14;9;16;14;8;4;6;11;6;4;14;11;8;20;20;19;20;11;10;7;19;14;18;1;1;1;1;1;
901;Niko Bercic;Slovenia;3000;HK Slavija Ljubljana;Elite League;HK Slavija Ljubljana;Elite League;LD, RD;Ljubljana;9/30/2002;17;Left Handed;None;19;55;11;1;18;20;13;1;1;1;5;1;11;5;9;11;6;11;9;6;5;5;11;11;4;5;6;7;2;12;8;7;5;8;9;12;1;1;1;1;1;
902;Josh Bryan;Canada;12682;Trois-Rivieres Blizzard;LNAH;Trois-Rivieres Blizzard;LNAH;LD, RD;---;6/6/1993;26;Left Handed;Major Junior;19;0;10;1;18;20;1;1;1;12;9;8;7;10;8;9;6;8;7;6;7;7;8;6;9;8;6;7;4;7;7;8;10;7;7;7;1;1;1;1;1;
903;Graeme Bryks;Canada;8515;Camrose Kodiaks;AJHL;Camrose Kodiaks;AJHL;LW, C;Edmonton;1/22/2001;19;Left Handed;None;1;0;8;1;1;1;18;20;1;4;12;10;11;11;10;11;12;9;8;7;6;10;9;8;16;6;8;5;9;10;7;5;6;5;4;4;1;1;1;1;1;
904;Jimmy Bubnick;Canada;11312;Lyon HC;Magnus League;Lyon HC;Magnus League;C, RW;Saskatoon;1/19/1991;29;Right Handed;None;19;14;10;1;1;1;12;20;18;11;12;12;9;11;10;11;11;8;10;9;8;19;6;10;13;9;12;7;15;7;10;10;12;11;10;11;1;1;1;1;1;
906;Nick Clements;Canada;7250;Mississauga Chargers;OJHL;Mississauga Chargers;OJHL;LD;Thunder Bay;11/16/2003;16;Left Handed;None;19;33;18;1;20;12;1;1;1;6;4;16;11;7;4;4;8;8;3;9;1;6;5;11;9;6;1;4;1;1;1;6;7;3;1;3;1;1;1;1;1;
909;Jérémy Bucheler;Canada;15230;Blainville-Boisbriand Armada;QMJHL;Blainville-Boisbriand Armada;QMJHL;RD;Montreal;3/31/2000;19;Right Handed;None;20;0;6;1;12;20;1;1;1;8;8;14;6;11;9;8;14;13;8;10;6;9;18;14;9;11;7;9;1;9;14;10;11;7;9;7;1;1;1;1;1;
910;Brandon Buck;Canada;28071;ERC Ingolstadt;DEL;ERC Ingolstadt;DEL;C;Delaware;8/16/1988;31;Left Handed;None;18;9;14;1;1;1;12;20;9;10;12;10;11;11;12;10;15;13;13;12;2;9;14;13;13;15;10;10;15;11;11;7;16;11;10;12;1;1;1;1;1;
911;Brandan Bachman;United States;5312;Wisconsin Rapids;HS-WI;Wisconsin Rapids;HS-WI;G;Wisconsin Rapids;9/29/2004;15;Left Handed;None;13;35;13;20;1;1;1;1;1;13;1;4;1;1;1;1;2;1;11;5;1;1;4;6;1;1;1;1;1;1;2;4;8;1;3;1;4;2;6;3;8;
912;Connor Bucsis;Canada;0;---;---;---;---;LD, LW;Saskatoon;6/28/1995;24;Right Handed;College;19;0;4;1;16;12;20;1;1;5;6;6;7;5;5;4;6;4;6;5;6;9;6;6;9;8;4;7;4;5;5;8;9;7;6;6;1;1;1;1;1;
914;Brett Bulmer;Canada;25387;EHC Black Wings Linz;Erste Bank Eishockey Liga;EHC Black Wings Linz;Erste Bank Eishockey Liga;LW, RW;Prince George;4/26/1992;27;Right Handed;Major Junior;17;17;13;1;1;1;18;10;20;11;11;14;9;9;12;9;10;13;10;9;14;16;11;7;15;14;13;15;10;15;14;12;16;13;13;10;1;1;1;1;1;
915;Kaleb Bulych;Canada;17582;Vancouver Giants;WHL;Vancouver Giants;WHL;RD;Yorkton;1/25/2000;20;Right Handed;Major Junior;1;0;15;1;14;20;1;1;1;1;4;12;2;1;8;5;10;19;9;8;1;3;16;15;7;3;2;3;2;5;8;8;8;6;5;5;1;1;1;1;1;
916;Connor Bunnaman;Canada;45130;Lehigh Valley Phantoms;AHL;Philadelphia Flyers;NHL;C;Guelph;4/16/1998;21;Left Handed;Major Junior;4;74;10;1;1;1;12;20;9;9;12;17;6;11;18;9;11;9;3;7;8;7;8;16;13;5;11;4;7;7;2;1;6;11;1;10;1;1;1;1;1;
917;Michael Bunting;Canada;138488;New York Rangers;NHL;New York Rangers;NHL;LW;Scarborough;9/17/1995;24;Left Handed;Major Junior;7;21;12;1;1;1;20;10;13;12;8;13;9;7;16;10;15;13;11;11;11;12;12;11;10;12;10;12;8;12;12;10;12;14;12;14;1;1;1;1;1;
918;Carmine Buono;Canada;27915;Texas Stars;AHL;Texas Stars;AHL;LD;Burnaby;2/22/1997;23;Left Handed;College;12;0;16;1;20;1;1;1;1;11;7;16;10;5;13;7;9;16;13;8;2;8;13;7;17;8;7;8;4;9;9;5;4;9;7;7;1;1;1;1;1;
920;Luke Burghardt;Canada;11297;Jonquière Marquis;LNAH;Jonquière Marquis;LNAH;C, RW;Bowmanville;5/12/1998;21;Right Handed;Major Junior;19;25;8;1;1;1;12;18;20;3;10;10;8;9;6;12;5;10;7;8;1;3;10;8;5;4;9;12;2;11;8;4;4;8;8;10;1;1;1;1;1;
924;Codey Burki;Canada;30075;EHC Biel-Bienne;National League A;EHC Biel-Bienne;National League A;C;Winnipeg;11/17/1987;32;Left Handed;Major Junior;11;15;13;1;1;1;12;20;9;8;9;9;12;9;9;9;10;11;11;9;4;6;12;13;12;8;9;7;13;5;7;5;8;6;6;8;1;1;1;1;1;
925;Brandon Burlon;Canada;7541;HC Benátky nad Jizerou;WSM Liga;HC Benátky nad Jizerou;WSM Liga;LD;Nobleton;3/5/1990;30;Left Handed;College;10;7;10;1;20;12;1;1;1;9;9;8;8;6;10;9;10;10;9;9;7;7;9;10;11;10;7;8;2;9;10;11;13;8;8;6;1;1;1;1;1;
927;Andrew Burns;Canada;9882;Laval Predateurs;LNAH;Laval Predateurs;LNAH;LD;Oakville;2/2/1997;23;Left Handed;Major Junior;15;20;7;1;20;12;1;1;1;14;3;11;8;7;8;4;12;9;13;13;2;12;9;15;11;14;4;4;2;7;8;11;14;4;4;4;1;1;1;1;1;
928;Brent Burns;Canada;167089;Philadelphia Flyers;NHL;Philadelphia Flyers;NHL;LD, RD;Ajax;3/9/1985;35;Right Handed;Major Junior;10;88;17;1;18;20;12;7;13;10;16;15;17;14;15;16;16;14;15;16;9;11;16;18;19;13;11;15;6;16;18;17;17;19;18;18;1;1;1;1;1;
929;Kyle Burroughs;Canada;7541;HC Slovan Ústí nad Labem;WSM Liga;HC Slovan Ústí nad Labem;WSM Liga;RD;Langley;7/12/1995;24;Right Handed;Major Junior;20;34;11;1;12;20;1;1;1;10;5;7;7;9;11;4;7;7;6;8;3;6;9;8;5;9;3;6;1;7;7;10;11;7;8;4;1;1;1;1;1;
930;Aivars Karavajevs;Latvia;875;Venta 2002 U18;Lat-18;Venta 2002 U18;Lat-18;LD, RD;Ventspils;10/29/2002;17;Left Handed;None;20;24;14;1;20;16;1;1;1;1;13;10;10;12;8;11;8;8;3;7;1;1;11;10;13;2;5;3;1;6;4;5;4;7;3;8;1;1;1;1;1;
931;Colin Burston;Canada;761;Salem State Vikings;MASCAC;Salem State Vikings;MASCAC;LW, C;Winnipeg;3/28/1997;22;Left Handed;College;20;0;12;1;1;1;20;16;14;3;8;11;5;11;17;11;20;10;11;7;1;4;12;7;18;9;5;3;2;7;6;6;6;4;4;8;1;1;1;1;1;
932;Jarrett Burton;Canada;19505;Alaska Aces;ECHL;Alaska Aces;ECHL;LW, C;Echo Bay;12/30/1990;29;Left Handed;None;20;20;13;1;1;1;16;20;12;9;9;5;7;7;7;9;6;7;6;7;6;5;6;7;9;5;10;8;8;8;6;6;7;7;8;7;1;1;1;1;1;
933;Luka Burzan;Canada;15087;Moose Jaw Warriors;WHL;Moose Jaw Warriors;WHL;C;Surrey;1/7/2000;20;Left Handed;Major Junior;1;27;11;1;1;1;14;20;12;14;11;15;9;8;9;15;12;9;8;8;1;5;8;15;14;6;8;8;8;8;6;4;5;7;3;6;1;1;1;1;1;
934;Dylan Busenius;Canada;7500;Arlan Kokshetau;Kaz;Arlan Kokshetau;Kaz;LD;Sherwood Park;1/30/1993;27;Left Handed;Major Junior;20;0;15;1;20;12;1;1;1;12;6;6;7;6;10;8;11;9;7;11;7;10;9;12;12;8;5;6;1;6;2;10;10;10;5;5;1;1;1;1;1;
935;Raphaël Bussières;Canada;12492;EK Zell am See;Alps League;EK Zell am See;Alps League;LW, RW;---;11/5/1993;26;Left Handed;Europe;20;28;12;1;1;1;20;13;17;10;8;10;7;7;8;8;7;9;10;11;7;9;10;8;12;11;7;11;7;7;10;7;9;9;10;10;1;1;1;1;1;
937;Ryan Button;Canada;43927;Augsburger Panther;DEL;Augsburger Panther;DEL;LD;Edmonton;3/26/1991;28;Left Handed;Major Junior;12;44;14;1;20;12;1;1;1;8;10;9;9;13;15;10;14;11;12;9;9;11;12;10;11;15;7;8;1;11;8;10;14;8;8;11;1;1;1;1;1;
939;Justin Buzzeo;Canada;16312;Kalamazoo Wings;ECHL;Kalamazoo Wings;ECHL;LW, RW;Windsor;1/27/1990;30;Left Handed;College;20;8;4;1;1;1;20;15;18;5;9;6;9;8;6;9;7;8;9;5;3;4;9;7;4;4;7;10;2;6;9;4;6;7;10;9;1;1;1;1;1;
940;Dane Byers;Canada;9300;Löwen Frankfurt;DEL2;Löwen Frankfurt;DEL2;LW;Nipawin;2/21/1986;34;Left Handed;None;19;38;12;1;1;1;20;9;15;15;6;15;7;13;13;6;13;4;4;4;18;14;6;7;9;12;8;9;7;11;6;8;11;9;8;5;1;1;1;1;1;
941;Bowen Byram;Canada;17582;Vancouver Giants;WHL;Vancouver Giants;WHL;LD;Lethbridge;6/13/2001;18;Left Handed;Major Junior;1;0;10;1;20;1;1;1;1;3;4;3;8;11;11;4;14;9;7;18;6;9;9;14;18;9;6;7;2;6;7;10;10;7;6;7;1;1;1;1;1;
943;Blaine Byron;Canada;10200;EHC Freiburg;DEL2;EHC Freiburg;DEL2;C;Osgoode;2/21/1995;25;Left Handed;College;20;0;13;1;1;1;12;20;9;7;12;7;12;9;12;14;12;10;12;10;5;7;10;12;11;7;9;10;12;10;12;6;7;10;10;9;1;1;1;1;1;
944;Paul Byron;Canada;103353;Montreal Canadiens;NHL;Montreal Canadiens;NHL;LW, C, RW;Montreal;4/27/1989;30;Left Handed;Major Junior;3;41;15;1;1;1;20;16;18;5;13;9;13;13;10;11;11;16;13;6;1;11;15;12;6;10;8;12;6;12;13;12;15;13;12;13;1;1;1;1;1;
947;Alexandre Bélanger;Canada;2071;UQTR Patriotes;CIS;UQTR Patriotes;CIS;G;Sherbrooke;8/19/1995;24;Left Handed;Major Junior;20;30;13;20;1;1;1;1;1;8;8;13;7;8;13;1;12;7;12;12;5;1;8;10;14;1;1;1;1;1;6;7;11;1;6;1;10;10;7;10;11;
948;Lukas Unger;United States;7250;Lindsay Muskies;OJHL;Lindsay Muskies;OJHL;C, RW;Plymouth;10/31/2002;17;Left Handed;None;11;44;8;1;1;1;12;20;18;2;11;5;15;7;4;10;3;11;10;7;1;1;6;14;6;2;8;6;5;5;7;3;2;3;5;6;1;1;1;1;1;
950;Louis Bélisle;Canada;16312;Kalamazoo Wings;ECHL;Kalamazoo Wings;ECHL;LW;---;2/3/1991;29;Left Handed;None;20;0;8;1;12;1;20;1;14;4;8;9;10;8;11;7;10;10;9;6;2;4;10;7;3;7;7;8;4;7;7;7;9;8;6;7;1;1;1;1;1;
